_id,arabic_name,description,type,latitude,longitude,directorate,directorate_latitude,directorate_longitude,icon,tags,start_time,end_time,phone_no
195,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا گه‌رماوا یا ئاوارا","garmaw camp",branch,36.6645,43.2423,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
196,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا شێخان یا ئاوارا","shexan camp",branch,36.7134,43.3002,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
197,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا مام ره‌شان یا ئاوارا","rashan camp",branch,36.6452,43.531,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
198,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا خانكێ یا ئاوارا","xanke camp",branch,36.7787,42.7751,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
199,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا ره‌وانگه یا ئاوارا","rawanga camp",branch,37.1069,42.6633,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
200,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا شاریا یا ئاوارا","sharya camp",branch,36.7844,42.963,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
201,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا كه‌به‌رتو -1- یا ئاوارا","kabartw camp1",branch,36.838,42.9103,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
202,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا كه‌به‌رتو -2- یا ئاوارا","kabartw camp2",branch,36.838,42.9103,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
203,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا دومیز -1- یا په‌نابه‌را","domez camp1",branch,36.7797,42.8662,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
204,"بنگه‌هێ چاڤدێریا ساخله‌میا ده‌ستپێكێ ل كه‌مپا دومیز -2- یا په‌نابه‌را","domez camp2",branch,36.7813,42.8663,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
205,"بنگه‌هێ ئه‌حمدێ خانی یێ چاڤدێریا ساخله‌میا ده‌ستپێكێ","ahmadi xane",branch,37.1399,42.6042,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
206,"مەڵبەندی تەندروستی شێروانە",sherwana,main,34.6169,45.3218,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
207,"مەڵبەندی تەندروستی بابە گورگور"," grgwr",main,34.6368,45.2964,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
208,"مەڵبەندی تەندروستی دادوەری کەلار","dadwari kalar",main,34.623,45.3274,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
209,"مەڵبەندی تەندروستی سەرقەڵا","sar qala",main,34.7427,45.0654,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
210,"مەڵبەندی تەندروستی کفری",kfry,main,34.6827,44.9508,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
211,"مەڵبەندی تەندروستی بەختیاری",bxtyary,main,34.6875,44.9591,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
212,"مەڵبەندی تەندروستی پیپاز",pipaz,main,34.9344,45.5981,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
213,"مەڵبەندی تەندروستی شههید دکتۆر قاسم","shahid dktor qasm",main,34.6621,45.2443,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
214,"مەڵبەندی تەندروستی گەرمیان",garmyan,main,34.6628,45.2222,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
215,"مەڵبەندی تەندروستی شهید دکتۆر هیوا","shahid dktor hiwa",main,34.9221,45.2756,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
216,"مەڵبەندی تەندروستی شەهیدان",Shahidan,main,34.6429,45.3174,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
217,"مەڵبەندی تەندروستی گولالە",gwlala,main,34.6396,45.3354,Sulaymaniyah,35.557,45.4359,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
